iter	Passed	Remaining
774	8692	2523
775	8702	2512
776	8713	2500
777	8723	2489
778	8734	2477
779	8744	2466
780	8755	2455
781	8765	2443
782	8776	2432
783	8787	2421
784	8798	2409
785	8810	2398
786	8821	2387
787	8832	2376
788	8843	2364
789	8853	2353
790	8865	2342
791	8875	2330
792	8886	2319
793	8897	2308
794	8907	2296
795	8919	2285
796	8929	2274
797	8939	2262
798	8950	2251
799	8960	2240
800	8971	2228
801	8981	2217
802	8992	2206
803	9002	2194
804	9013	2183
805	9023	2171
806	9035	2160
807	9045	2149
808	9056	2138
809	9067	2127
810	9078	2115
811	9089	2104
812	9100	2093
813	9111	2082
814	9122	2070
815	9133	2059
816	9144	2048
817	9154	2036
818	9164	2025
819	9175	2014
820	9186	2002
821	9197	1991
822	9208	1980
823	9219	1969
824	9230	1957
825	9242	1946
826	9253	1935
827	9264	1924
828	9274	1913
829	9285	1901
830	9296	1890
831	9307	1879
832	9318	1868
833	9328	1856
834	9339	1845
835	9350	1834
836	9361	1823
837	9371	1811
838	9383	1800
839	9394	1789
840	9405	1778
841	9415	1766
842	9427	1755
843	9437	1744
844	9448	1733
845	9459	1722
846	9470	1710
847	9481	1699
848	9492	1688
849	9503	1677
850	9513	1665
851	9525	1654
852	9535	1643
853	9546	1632
854	9557	1620
855	9567	1609
856	9579	1598
857	9589	1587
858	9600	1575
859	9611	1564
860	9621	1553
861	9632	1542
862	9642	1530
863	9653	1519
864	9663	1508
865	9674	1497
866	9685	1485
867	9696	1474
868	9707	1463
869	9718	1452
870	9728	1440
871	9739	1429
872	9749	1418
873	9760	1407
874	9771	1395
875	9781	1384
876	9792	1373
877	9803	1362
878	9814	1350
879	9824	1339
880	9835	1328
881	9846	1317
882	9857	1306
883	9867	1294
884	9878	1283
885	9889	1272
886	9899	1261
887	9910	1249
888	9921	1238
889	9931	1227
890	9943	1216
891	9955	1205
892	9965	1194
893	9976	1182
894	9987	1171
895	9999	1160
896	10009	1149
897	10021	1138
898	10032	1127
899	10042	1115
900	10053	1104
901	10063	1093
902	10074	1082
903	10085	1070
904	10095	1059
905	10106	1048
906	10116	1037
907	10126	1026
908	10137	1014
909	10148	1003
910	10158	992
911	10169	981
912	10179	970
913	10191	958
914	10203	947
915	10214	936
916	10225	925
917	10236	914
918	10246	903
919	10257	891
920	10269	880
921	10280	869
922	10291	858
923	10302	847
924	10313	836
925	10323	825
926	10334	813
927	10344	802
928	10355	791
929	10366	780
930	10376	769
931	10386	757
932	10398	746
933	10408	735
934	10420	724
935	10430	713
936	10441	702
937	10451	690
938	10462	679
939	10473	668
940	10483	657
941	10494	646
942	10505	634
943	10515	623
944	10526	612
945	10537	601
946	10547	590
947	10558	579
948	10569	568
949	10580	556
950	10591	545
951	10601	534
952	10611	523
953	10622	512
954	10633	501
955	10643	489
956	10654	478
957	10665	467
958	10676	456
959	10687	445
960	10698	434
961	10709	423
962	10720	411
963	10730	400
964	10741	389
965	10751	378
966	10762	367
967	10773	356
968	10784	345
969	10795	333
970	10805	322
971	10816	311
972	10826	300
973	10837	289
974	10850	278
975	10860	267
976	10871	255
977	10883	244
978	10894	233
979	10904	222
980	10915	211
981	10925	200
982	10935	189
983	10947	178
984	10958	166
985	10968	155
986	10979	144
987	10990	133
988	11000	122
989	11011	111
990	11022	100
991	11033	88
992	11044	77
993	11056	66
994	11067	55
995	11078	44
996	11089	33
997	11100	22
998	11111	11
999	11124	0
